"31.12.2018 23:30";"-26.0";"994.6";"1032.9";"76";"Переменное направление";"1";"";"Дымка";"";"Рассеянная (40-50%) 1170 м";"4.9";"-29.0";
"31.12.2018 23:00";"-26.0";"994.6";"1032.9";"76";"Штиль, безветрие";"0";"";"Дымка";"";"Рассеянная (40-50%) 1080 м";"4.7";"-29.0";
"31.12.2018 22:30";"-27.0";"994.5";"1032.9";"83";"Штиль, безветрие";"0";"";"Дымка";"";"Рассеянная (40-50%) 1080 м";"4.4";"-29.0";
"31.12.2018 22:00";"-26.0";"994.6";"1032.9";"76";"Штиль, безветрие";"0";"";"Дымка";"";"Рассеянная (40-50%) 1080 м";"4.1";"-29.0";
"31.12.2018 21:30";"-26.0";"994.6";"1032.9";"76";"Штиль, безветрие";"0";"";"Дымка";"";"Рассеянная (40-50%) 1230 м";"5.0";"-29.0";
"31.12.2018 21:00";"-26.0";"994.6";"1032.9";"76";"Ветер, дующий с западо-северо-запада";"1";"";"Дымка";"";"Рассеянная (40-50%) 1350 м";"4.6";"-29.0";
"31.12.2018 20:30";"-26.0";"994.6";"1032.9";"76";"Штиль, безветрие";"0";"";"Дымка";"";"Рассеянная (40-50%) 1170 м";"4.6";"-29.0";
"31.12.2018 20:00";"-26.0";"994.6";"1032.9";"76";"Штиль, безветрие";"0";"";"Дымка";"";"Незначительная (10-30%) 1290 м";"4.8";"-29.0";
"31.12.2018 19:30";"-26.0";"994.6";"1032.9";"76";"Переменное направление";"1";"";"Дымка";"";"Незначительная (10-30%) 960 м";"5.0";"-29.0";
"31.12.2018 19:00";"-26.0";"994.6";"1032.9";"76";"Переменное направление";"1";"";"Дымка";"";"Незначительная (10-30%) 1200 м";"5.0";"-29.0";
"31.12.2018 18:30";"-26.0";"994.6";"1032.9";"83";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"4.5";"-28.0";
"31.12.2018 18:00";"-25.0";"994.7";"1032.9";"76";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"4.8";"-28.0";
"31.12.2018 17:30";"-25.0";"994.7";"1032.9";"83";"Ветер, дующий с западо-северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"3.8";"-27.0";
"31.12.2018 17:00";"-25.0";"994.7";"1032.9";"83";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"4.4";"-27.0";
"31.12.2018 16:30";"-24.0";"994.9";"1032.9";"84";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"4.5";"-26.0";
"31.12.2018 16:00";"-24.0";"993.9";"1031.8";"84";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"4.5";"-26.0";
"31.12.2018 15:30";"-22.0";"994.2";"1031.8";"70";"Штиль, безветрие";"0";"";"Дымка";"";"Нет существенной облачности";"4.3";"-26.0";
"31.12.2018 15:00";"-23.0";"994.1";"1031.8";"77";"Ветер, дующий с юго-востока";"1";"";"Дым";"";"Нет существенной облачности";"4.0";"-26.0";
"31.12.2018 14:30";"-22.0";"994.2";"1031.8";"70";"Ветер, дующий с востоко-юго-востока";"1";"";"Дым";"";"Нет существенной облачности";"4.2";"-26.0";
"31.12.2018 14:00";"-22.0";"994.2";"1031.8";"64";"Штиль, безветрие";"0";"";"Дым";"";"Нет существенной облачности";"3.8";"-27.0";
"31.12.2018 13:30";"-22.0";"994.2";"1031.8";"70";"Штиль, безветрие";"0";"";"Дым";"";"Нет существенной облачности";"3.7";"-26.0";
"31.12.2018 13:00";"-23.0";"994.1";"1031.8";"70";"Ветер, дующий с севера";"1";"";"Дымка";"";"Нет существенной облачности";"3.8";"-27.0";
"31.12.2018 12:30";"-25.0";"993.8";"1031.8";"76";"Ветер, дующий с северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"3.8";"-28.0";
"31.12.2018 12:00";"-27.0";"993.4";"1031.8";"76";"Ветер, дующий с западо-северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"3.9";"-30.0";
"31.12.2018 11:30";"-28.0";"993.3";"1031.8";"75";"Ветер, дующий с северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"4.0";"-31.0";
"31.12.2018 11:00";"-31.0";"992.2";"1031.1";"75";"Ветер, дующий с западо-северо-запада";"2";"";"Дымка";"";"Нет существенной облачности";"4.1";"-34.0";
"31.12.2018 10:30";"-32.0";"992.6";"1031.8";"75";"Ветер, дующий с запада";"1";"";"Дымка";"";"Нет существенной облачности";"4.2";"-35.0";
"31.12.2018 10:00";"-33.0";"992.5";"1031.8";"74";"Переменное направление";"1";"";"Дымка";"";"Незначительная (10-30%) 90 м";"4.2";"-36.0";
"31.12.2018 09:30";"-33.0";"991.8";"1031.1";"74";"Переменное направление";"1";"";"Дымка";"";"Нет существенной облачности";"3.8";"-36.0";
"31.12.2018 09:00";"-33.0";"991.8";"1031.1";"74";"Ветер, дующий с запада";"1";"";"Дымка";"";"Нет существенной облачности";"4.0";"-36.0";
"31.12.2018 08:30";"-32.0";"992.1";"1031.1";"75";"Ветер, дующий с северо-запада";"1";"";"Дымка";"";"Нет существенной облачности";"3.9";"-35.0";
